Model,Brand,OS_Version,Screen_Size_Inches,Battery_mAh,RAM_GB,Storage_GB,Rear_Camera_MP,Front_Camera_MP,Processor,Refresh_Rate_Hz,Connectivity,Face_Unlock,Fingerprint_Sensor,Dual_SIM,Warranty,Screen_Type,Charging_Port,Fast_Charging,Body_Material,Weight_g,Thickness_mm,Price_Category
INF-515,Infinix,iOS 15,5.89,4100,12,64,16,35,MediaTek,90,5G,Yes,No,Yes,No Warranty,IPS,Type-C,Yes,Plastic,198,7.4,Low
VIV-188,Vivo,iOS 15,6.04,4400,3,64,104,15,Kirin,144,5G,No,Yes,No,No Warranty,LCD,Lightning,No,Metal,185,9.2,Very High
SAM-302,Samsung,Android 12,5.24,4600,6,32,20,20,Kirin,144,5G,No,Yes,No,2 Years,LCD,Type-C,No,Plastic,120,8.5,High
OPP-533,Oppo,Android 10,5.01,4200,8,256,72,30,Exynos,90,4G,Yes,Yes,No,No Warranty,IPS,Lightning,Yes,Plastic,207,8.9,Medium
HUA-846,Huawei,Android 12,5.56,3400,4,64,28,35,Snapdragon,90,4G,No,Yes,No,1 Year,LCD,Lightning,Yes,Plastic,140,7.8,Very High
REA-713,Realme,Android 10,6.85,3100,6,256,28,20,Snapdragon,60,5G,Yes,No,No,2 Years,IPS,Type-C,Yes,Metal,206,8.8,High
SAM-198,Samsung,iOS 14,5.74,3600,3,256,104,35,Apple Bionic,60,4G,Yes,No,No,1 Year,OLED,Type-C,No,Glass,195,7.2,High
TEC-731,Tecno,Android 11,6.66,4000,2,256,24,35,Apple Bionic,60,4G,Yes,Yes,No,2 Years,LCD,Lightning,Yes,Glass,133,9.4,Medium
REA-711,Realme,Android 10,6.61,3300,3,32,100,15,Exynos,144,5G,Yes,No,Yes,2 Years,LCD,Lightning,No,Glass,238,7.3,Low
HUA-482,Huawei,iOS 15,6.0,4700,12,128,88,25,Exynos,144,4G,No,Yes,Yes,1 Year,LCD,Micro-USB,No,Glass,146,7.8,Very High
XIA-213,Xiaomi,iOS 15,6.84,4600,2,512,52,5,Apple Bionic,120,4G,No,No,No,1 Year,OLED,Type-C,Yes,Metal,220,7.9,Low
TEC-727,Tecno,iOS 15,6.99,4500,2,64,8,40,Kirin,120,5G,Yes,No,No,1 Year,IPS,Type-C,No,Glass,206,6.8,Medium
TEC-511,Tecno,Android 12,6.59,3600,2,512,92,15,Kirin,90,4G,No,No,No,No Warranty,AMOLED,Lightning,Yes,Metal,122,6.6,High
REA-183,Realme,Android 10,6.06,5500,4,128,108,20,Apple Bionic,90,4G,Yes,No,Yes,No Warranty,LCD,Micro-USB,No,Plastic,211,9.3,Very High
TEC-562,Tecno,Android 11,5.39,3100,2,128,80,20,Kirin,120,4G,No,No,No,2 Years,AMOLED,Type-C,Yes,Glass,239,9.4,Medium
VIV-606,Vivo,iOS 14,6.19,4000,2,64,68,35,MediaTek,90,4G,No,No,No,No Warranty,IPS,Micro-USB,No,Metal,128,6.8,Very High
OPP-952,Oppo,Android 11,5.88,3000,4,256,32,30,Snapdragon,120,4G,No,No,No,2 Years,OLED,Lightning,Yes,Metal,146,6.5,Medium
INF-893,Infinix,Android 12,6.57,4300,8,64,72,30,MediaTek,144,5G,No,No,Yes,2 Years,OLED,Lightning,No,Plastic,139,8.5,Medium
XIA-881,Xiaomi,Android 12,5.08,4700,2,128,44,15,Kirin,120,5G,No,No,Yes,No Warranty,AMOLED,Lightning,Yes,Glass,231,9.2,Medium
INF-763,Infinix,Android 10,6.36,4900,6,32,92,25,MediaTek,90,5G,No,No,Yes,No Warranty,LCD,Lightning,No,Metal,122,7.0,Low
VIV-425,Vivo,Android 11,6.27,5400,12,32,64,40,Kirin,120,4G,No,No,Yes,No Warranty,LCD,Micro-USB,Yes,Glass,154,7.3,Medium
TEC-863,Tecno,iOS 15,6.0,4900,6,64,52,5,Kirin,60,4G,No,No,No,1 Year,AMOLED,Micro-USB,Yes,Glass,236,7.5,Very High
HUA-683,Huawei,Android 10,6.23,6000,4,512,64,20,Snapdragon,90,4G,No,Yes,Yes,1 Year,OLED,Type-C,Yes,Glass,157,9.3,Very High
INF-493,Infinix,Android 10,6.37,4100,6,512,80,10,Snapdragon,60,5G,No,No,Yes,2 Years,LCD,Micro-USB,Yes,Plastic,222,8.7,Medium
XIA-452,Xiaomi,Android 12,6.87,5000,12,256,24,40,Exynos,60,5G,No,Yes,Yes,1 Year,OLED,Lightning,No,Metal,223,6.6,High
INF-488,Infinix,iOS 15,6.63,5900,4,512,60,35,Exynos,90,4G,No,Yes,No,2 Years,IPS,Micro-USB,No,Metal,135,6.9,Low
HUA-509,Huawei,Android 10,6.42,3100,6,512,44,30,Kirin,120,4G,No,No,No,2 Years,IPS,Lightning,Yes,Plastic,177,7.2,Low
OPP-320,Oppo,iOS 14,5.22,3500,2,256,96,30,Snapdragon,90,4G,Yes,No,No,1 Year,LCD,Lightning,Yes,Glass,193,7.1,Medium
TEC-140,Tecno,iOS 15,6.3,5100,12,64,76,30,Kirin,120,5G,Yes,No,No,2 Years,OLED,Lightning,Yes,Metal,185,7.4,High
APP-598,Apple,Android 12,6.92,4000,3,512,36,5,Apple Bionic,144,5G,Yes,Yes,Yes,2 Years,OLED,Type-C,Yes,Plastic,143,7.4,Very High
VIV-498,Vivo,iOS 14,5.69,4100,2,32,56,30,Snapdragon,120,4G,Yes,No,No,2 Years,AMOLED,Type-C,No,Plastic,161,7.0,Very High
SAM-608,Samsung,iOS 14,6.65,5800,3,256,80,25,Snapdragon,120,5G,No,No,Yes,No Warranty,AMOLED,Lightning,No,Metal,150,7.3,High
INF-913,Infinix,Android 10,5.73,4100,12,32,40,25,MediaTek,90,5G,No,No,Yes,No Warranty,OLED,Lightning,Yes,Glass,163,7.9,Very High
OPP-162,Oppo,Android 12,6.42,4700,2,256,76,5,Snapdragon,144,4G,No,Yes,No,2 Years,IPS,Type-C,Yes,Metal,184,7.2,Very High
TEC-685,Tecno,Android 10,5.89,3500,12,32,8,5,Snapdragon,90,4G,Yes,No,Yes,No Warranty,OLED,Lightning,No,Plastic,127,8.5,Very High
REA-435,Realme,iOS 15,5.66,4700,12,512,28,10,Exynos,60,4G,No,No,No,2 Years,LCD,Lightning,No,Plastic,161,7.5,Low
XIA-136,Xiaomi,Android 10,5.54,3400,2,32,80,25,Apple Bionic,60,5G,No,Yes,Yes,2 Years,AMOLED,Micro-USB,No,Glass,146,7.6,Medium
INF-274,Infinix,iOS 14,5.5,3000,4,256,44,10,Exynos,90,5G,Yes,Yes,Yes,2 Years,OLED,Lightning,Yes,Glass,240,7.5,Low
REA-990,Realme,iOS 15,5.05,5900,12,128,52,30,Kirin,120,5G,No,Yes,No,1 Year,AMOLED,Micro-USB,Yes,Metal,188,9.4,Medium
SAM-203,Samsung,iOS 14,5.49,5100,3,128,64,30,Exynos,120,4G,Yes,No,Yes,No Warranty,AMOLED,Type-C,No,Plastic,197,7.8,High
HUA-709,Huawei,Android 10,6.24,3800,4,256,28,40,Apple Bionic,120,5G,No,No,No,2 Years,LCD,Type-C,Yes,Metal,227,6.7,High
VIV-141,Vivo,iOS 14,6.57,4100,3,64,32,10,Exynos,90,4G,No,Yes,No,1 Year,AMOLED,Micro-USB,Yes,Metal,197,7.3,Low
SAM-724,Samsung,Android 12,5.89,5500,12,256,28,10,Snapdragon,60,5G,Yes,Yes,Yes,No Warranty,IPS,Type-C,No,Glass,160,9.0,Very High
TEC-193,Tecno,Android 12,5.15,4500,8,256,64,15,Exynos,60,4G,Yes,Yes,No,1 Year,LCD,Lightning,Yes,Glass,239,9.3,Medium
XIA-721,Xiaomi,iOS 15,5.71,3600,6,128,12,10,Kirin,60,5G,Yes,Yes,No,2 Years,IPS,Micro-USB,Yes,Plastic,183,9.0,Low
HUA-565,Huawei,Android 11,5.33,5900,6,128,76,10,Apple Bionic,120,5G,Yes,No,Yes,2 Years,IPS,Micro-USB,Yes,Plastic,236,8.1,Very High
HUA-332,Huawei,iOS 15,5.28,4200,6,256,8,5,Kirin,120,5G,Yes,No,Yes,No Warranty,IPS,Micro-USB,No,Glass,183,7.1,Medium
SAM-890,Samsung,Android 12,6.32,4400,3,32,44,10,Kirin,120,4G,No,No,Yes,2 Years,OLED,Type-C,Yes,Glass,142,8.4,High
INF-935,Infinix,Android 11,5.11,5800,2,32,28,25,Kirin,60,5G,Yes,No,Yes,1 Year,OLED,Type-C,No,Glass,168,7.8,Medium
XIA-854,Xiaomi,Android 11,5.27,3400,12,64,64,35,Exynos,90,5G,Yes,No,No,1 Year,OLED,Type-C,No,Plastic,206,8.5,Very High
XIA-818,Xiaomi,iOS 14,6.14,3400,4,256,8,5,Exynos,90,4G,No,Yes,No,2 Years,LCD,Lightning,Yes,Metal,175,7.1,Very High
OPP-522,Oppo,Android 12,5.2,5200,2,256,24,5,Snapdragon,144,5G,Yes,Yes,No,1 Year,IPS,Lightning,No,Metal,231,8.6,Low
SAM-885,Samsung,Android 12,6.58,3600,6,256,16,20,Exynos,120,5G,Yes,No,No,1 Year,AMOLED,Type-C,No,Plastic,223,7.5,Low
VIV-956,Vivo,iOS 15,5.42,4100,8,256,44,30,MediaTek,144,4G,Yes,No,Yes,No Warranty,IPS,Type-C,Yes,Glass,178,7.9,Low
OPP-648,Oppo,iOS 14,6.13,3100,2,128,56,25,Apple Bionic,120,4G,No,Yes,Yes,No Warranty,AMOLED,Micro-USB,Yes,Plastic,182,8.6,Medium
REA-579,Realme,Android 11,5.92,3600,2,64,12,5,Snapdragon,60,4G,No,No,Yes,No Warranty,LCD,Type-C,No,Metal,198,8.1,High
XIA-615,Xiaomi,iOS 14,6.23,5600,4,512,44,15,Kirin,90,5G,No,No,Yes,2 Years,OLED,Micro-USB,No,Plastic,196,6.9,High
VIV-947,Vivo,iOS 14,6.97,3900,2,64,72,40,MediaTek,144,4G,Yes,Yes,No,1 Year,OLED,Micro-USB,Yes,Plastic,147,9.0,Very High
SAM-150,Samsung,Android 12,6.16,4700,4,256,12,40,MediaTek,60,4G,No,No,No,No Warranty,OLED,Micro-USB,Yes,Plastic,210,6.6,High
HUA-315,Huawei,iOS 15,6.35,3100,6,64,88,40,MediaTek,60,4G,No,No,Yes,2 Years,AMOLED,Type-C,No,Plastic,158,8.5,Medium
INF-990,Infinix,iOS 15,6.34,4200,6,32,48,40,Exynos,144,5G,Yes,Yes,No,1 Year,AMOLED,Lightning,No,Metal,149,9.4,High
SAM-491,Samsung,iOS 14,5.87,5500,8,256,64,40,Apple Bionic,60,5G,Yes,Yes,Yes,1 Year,LCD,Lightning,Yes,Glass,224,7.5,Medium
VIV-870,Vivo,Android 11,6.3,5000,4,512,56,30,Exynos,60,4G,Yes,No,Yes,1 Year,AMOLED,Type-C,No,Plastic,123,7.0,High
OPP-323,Oppo,iOS 15,6.02,5300,6,64,64,40,Snapdragon,120,5G,Yes,Yes,Yes,2 Years,OLED,Micro-USB,No,Metal,195,7.1,High
OPP-969,Oppo,Android 10,6.15,3900,4,64,84,15,Apple Bionic,90,4G,Yes,Yes,Yes,1 Year,LCD,Type-C,Yes,Plastic,223,9.3,Very High
OPP-455,Oppo,Android 11,6.61,5900,8,64,8,25,MediaTek,144,5G,No,Yes,No,2 Years,AMOLED,Micro-USB,Yes,Metal,154,6.9,Low
VIV-598,Vivo,Android 10,6.33,4400,2,64,12,25,Exynos,90,4G,Yes,No,Yes,No Warranty,IPS,Type-C,Yes,Glass,178,9.0,Low
REA-508,Realme,iOS 14,5.49,6000,4,32,84,25,Apple Bionic,90,5G,Yes,Yes,Yes,2 Years,IPS,Micro-USB,No,Metal,152,8.9,High
TEC-420,Tecno,iOS 15,5.13,4100,12,128,88,35,Snapdragon,60,5G,No,No,No,2 Years,OLED,Lightning,Yes,Metal,129,8.5,Low
VIV-187,Vivo,Android 10,5.52,5500,6,512,28,5,Apple Bionic,90,4G,No,No,No,2 Years,OLED,Lightning,No,Metal,212,9.1,High
HUA-739,Huawei,Android 11,5.92,4000,12,32,72,20,Snapdragon,144,4G,Yes,Yes,No,No Warranty,AMOLED,Type-C,Yes,Plastic,225,6.6,High
INF-145,Infinix,iOS 14,5.66,3500,4,128,72,10,MediaTek,144,5G,Yes,Yes,Yes,No Warranty,OLED,Type-C,Yes,Glass,235,8.8,High
XIA-581,Xiaomi,Android 10,5.74,5000,3,64,40,30,Apple Bionic,60,5G,No,No,No,2 Years,IPS,Lightning,Yes,Plastic,123,7.8,High
XIA-761,Xiaomi,iOS 15,6.92,4800,2,512,84,10,Exynos,90,5G,No,Yes,No,1 Year,IPS,Lightning,Yes,Glass,210,8.1,Very High
OPP-283,Oppo,iOS 14,5.32,5000,2,512,28,10,Kirin,120,5G,No,No,No,No Warranty,AMOLED,Type-C,No,Glass,131,9.4,Medium
XIA-462,Xiaomi,Android 11,6.89,3800,4,64,104,30,Kirin,60,4G,Yes,Yes,No,2 Years,LCD,Micro-USB,No,Plastic,197,8.9,Medium
XIA-190,Xiaomi,iOS 15,6.68,3800,12,256,60,10,MediaTek,90,4G,Yes,No,No,No Warranty,AMOLED,Type-C,Yes,Plastic,179,8.6,Low
REA-266,Realme,iOS 14,6.56,5100,3,128,8,20,Exynos,144,5G,No,No,No,1 Year,OLED,Lightning,No,Plastic,238,6.7,Very High
VIV-900,Vivo,Android 12,5.29,4400,12,512,24,10,MediaTek,90,5G,No,No,No,No Warranty,AMOLED,Micro-USB,No,Plastic,189,8.9,High
TEC-835,Tecno,Android 10,6.01,5300,3,64,40,25,Apple Bionic,144,4G,Yes,No,Yes,No Warranty,LCD,Micro-USB,Yes,Metal,237,9.2,High
SAM-439,Samsung,iOS 15,6.06,3700,3,128,24,10,Apple Bionic,120,4G,Yes,No,No,No Warranty,AMOLED,Lightning,No,Plastic,138,6.7,Very High
SAM-456,Samsung,Android 12,5.27,5400,4,64,32,20,Exynos,144,4G,Yes,No,Yes,2 Years,AMOLED,Lightning,No,Metal,225,8.0,Low
TEC-360,Tecno,iOS 14,5.24,3700,4,256,8,35,Snapdragon,144,5G,No,Yes,No,No Warranty,OLED,Lightning,No,Plastic,166,8.1,Very High
OPP-169,Oppo,iOS 14,6.46,4200,6,128,96,25,Kirin,120,4G,Yes,No,Yes,1 Year,LCD,Micro-USB,No,Plastic,225,7.3,Low
OPP-961,Oppo,Android 10,6.17,4100,12,64,60,40,Snapdragon,120,4G,Yes,No,Yes,No Warranty,AMOLED,Micro-USB,No,Plastic,154,9.0,Medium
SAM-496,Samsung,Android 12,6.02,3800,6,64,84,20,Exynos,120,4G,Yes,Yes,No,2 Years,IPS,Lightning,No,Glass,224,9.1,Medium
SAM-227,Samsung,Android 10,5.34,4500,8,128,16,40,Exynos,60,4G,Yes,Yes,Yes,No Warranty,AMOLED,Lightning,Yes,Metal,123,7.7,Medium
REA-940,Realme,Android 10,6.74,3600,8,128,108,20,MediaTek,120,5G,No,No,Yes,No Warranty,OLED,Type-C,Yes,Plastic,223,7.6,Very High
INF-256,Infinix,iOS 14,5.45,3800,4,256,40,20,MediaTek,90,4G,No,No,Yes,No Warranty,IPS,Type-C,Yes,Plastic,208,8.3,Very High
XIA-539,Xiaomi,iOS 15,5.08,3500,4,32,84,10,Snapdragon,90,4G,Yes,Yes,Yes,No Warranty,IPS,Micro-USB,No,Metal,169,9.5,Very High
SAM-397,Samsung,Android 10,5.83,3800,2,512,104,25,MediaTek,60,4G,No,Yes,No,2 Years,LCD,Micro-USB,No,Glass,174,9.1,Medium
TEC-853,Tecno,iOS 15,5.54,5900,4,32,20,10,Exynos,144,5G,Yes,Yes,Yes,1 Year,AMOLED,Type-C,Yes,Glass,235,8.4,Very High
APP-772,Apple,Android 12,5.37,4600,6,128,48,30,Kirin,144,5G,Yes,No,Yes,No Warranty,IPS,Lightning,Yes,Glass,213,8.2,Very High
INF-501,Infinix,Android 10,5.66,5100,8,256,44,40,Exynos,144,4G,Yes,No,No,No Warranty,IPS,Micro-USB,No,Plastic,135,9.4,Very High
TEC-347,Tecno,iOS 14,6.14,5100,4,512,56,25,MediaTek,90,4G,Yes,No,Yes,2 Years,AMOLED,Micro-USB,Yes,Glass,201,9.4,Very High
OPP-640,Oppo,Android 11,5.94,4800,8,32,100,15,Apple Bionic,144,4G,Yes,No,Yes,1 Year,OLED,Micro-USB,Yes,Metal,240,6.6,Very High
XIA-831,Xiaomi,Android 11,6.66,3000,6,32,76,40,Apple Bionic,90,4G,No,No,No,2 Years,AMOLED,Micro-USB,No,Plastic,191,7.3,Very High
HUA-891,Huawei,Android 11,6.17,3600,3,32,36,10,Apple Bionic,90,4G,No,Yes,No,2 Years,LCD,Micro-USB,No,Metal,205,7.2,Medium
VIV-513,Vivo,Android 11,5.96,5000,6,64,8,35,Exynos,120,4G,Yes,Yes,Yes,No Warranty,AMOLED,Lightning,No,Metal,152,9.4,Medium
XIA-136,Xiaomi,iOS 15,5.66,6000,4,512,40,10,Snapdragon,60,5G,Yes,Yes,No,1 Year,LCD,Micro-USB,Yes,Plastic,198,8.5,Medium
INF-582,Infinix,iOS 14,5.46,4500,6,256,88,25,Exynos,60,5G,No,No,No,No Warranty,IPS,Lightning,Yes,Plastic,206,8.5,Very High
OPP-131,Oppo,Android 12,6.26,4100,6,256,20,5,Apple Bionic,120,4G,No,No,No,2 Years,AMOLED,Lightning,Yes,Metal,192,7.5,High
REA-867,Realme,Android 11,6.42,4700,2,256,28,5,Exynos,90,4G,Yes,No,No,No Warranty,LCD,Micro-USB,No,Plastic,145,8.9,High
INF-765,Infinix,iOS 14,6.99,4700,3,512,56,15,MediaTek,144,4G,No,No,Yes,1 Year,LCD,Micro-USB,Yes,Glass,162,7.4,Very High
VIV-448,Vivo,Android 11,5.98,5500,3,512,28,15,Exynos,144,4G,Yes,No,Yes,No Warranty,AMOLED,Micro-USB,No,Plastic,154,7.4,High
XIA-240,Xiaomi,iOS 14,5.92,5200,2,64,92,35,Apple Bionic,90,4G,No,No,No,No Warranty,AMOLED,Lightning,Yes,Glass,136,7.6,Low
REA-454,Realme,iOS 14,5.97,4600,8,128,56,25,MediaTek,144,4G,No,Yes,No,1 Year,IPS,Type-C,Yes,Metal,205,8.1,Low
TEC-308,Tecno,iOS 15,5.75,5600,6,512,40,30,Kirin,90,4G,Yes,No,No,1 Year,AMOLED,Type-C,No,Glass,161,6.5,Low
SAM-914,Samsung,iOS 14,6.57,3200,6,32,32,40,Kirin,144,5G,Yes,No,No,1 Year,AMOLED,Type-C,No,Plastic,163,8.6,High
APP-618,Apple,Android 11,5.04,3700,8,512,60,30,Kirin,144,4G,No,No,No,2 Years,OLED,Micro-USB,No,Plastic,174,9.2,Medium
HUA-951,Huawei,iOS 15,6.33,4800,6,64,100,30,Exynos,60,5G,Yes,No,Yes,1 Year,IPS,Lightning,No,Metal,120,6.5,Very High
HUA-734,Huawei,iOS 14,6.47,3300,8,128,104,15,Snapdragon,60,4G,Yes,Yes,No,No Warranty,IPS,Micro-USB,Yes,Plastic,215,8.9,Low
HUA-979,Huawei,iOS 15,6.48,5600,4,256,12,5,Kirin,120,4G,Yes,Yes,No,2 Years,AMOLED,Micro-USB,No,Metal,141,7.7,Medium
REA-364,Realme,iOS 15,6.63,5000,8,64,48,30,Snapdragon,60,5G,Yes,No,No,2 Years,LCD,Lightning,Yes,Metal,184,8.6,Medium
SAM-904,Samsung,Android 11,6.98,3200,12,64,56,5,Apple Bionic,144,5G,No,Yes,No,2 Years,AMOLED,Lightning,Yes,Metal,137,9.2,Very High
VIV-914,Vivo,iOS 14,5.66,3400,6,32,36,25,Exynos,144,5G,No,No,Yes,2 Years,IPS,Micro-USB,No,Plastic,159,9.1,Medium
TEC-673,Tecno,iOS 15,6.18,4300,3,256,16,25,Snapdragon,120,4G,Yes,No,No,No Warranty,LCD,Micro-USB,Yes,Plastic,206,8.8,Low
REA-458,Realme,iOS 15,6.92,5300,4,128,28,40,Exynos,144,5G,No,Yes,Yes,2 Years,IPS,Lightning,No,Plastic,180,7.9,Medium
REA-518,Realme,Android 11,5.41,3700,6,32,36,25,Exynos,120,4G,Yes,No,No,1 Year,OLED,Type-C,No,Plastic,137,7.3,Low
TEC-228,Tecno,Android 12,6.75,5700,12,32,80,35,Kirin,60,5G,No,No,No,2 Years,OLED,Type-C,No,Glass,191,8.8,High
VIV-546,Vivo,iOS 15,6.14,4000,6,512,64,5,Apple Bionic,144,5G,No,No,No,2 Years,LCD,Lightning,No,Metal,134,9.2,Low
SAM-761,Samsung,Android 12,6.23,5800,12,128,76,15,Apple Bionic,120,5G,No,Yes,No,2 Years,OLED,Type-C,No,Glass,172,7.9,Very High
TEC-630,Tecno,iOS 14,6.34,5700,6,512,56,20,Snapdragon,90,5G,No,Yes,Yes,2 Years,LCD,Micro-USB,No,Metal,155,8.1,High
INF-860,Infinix,iOS 14,6.9,3300,8,64,60,5,Apple Bionic,144,4G,Yes,Yes,No,1 Year,AMOLED,Lightning,No,Plastic,238,9.0,Low
APP-914,Apple,iOS 15,5.52,3200,12,128,76,25,Kirin,120,4G,No,No,No,No Warranty,IPS,Lightning,Yes,Plastic,150,6.6,Medium
INF-586,Infinix,iOS 14,5.78,5800,8,64,52,25,MediaTek,120,5G,Yes,Yes,No,2 Years,OLED,Type-C,No,Plastic,177,8.8,Low
HUA-783,Huawei,iOS 15,6.23,5400,2,256,72,10,Apple Bionic,144,4G,Yes,Yes,No,No Warranty,LCD,Micro-USB,No,Plastic,178,8.4,Low
XIA-360,Xiaomi,Android 10,5.65,5400,6,64,36,30,Exynos,120,5G,No,Yes,No,2 Years,OLED,Micro-USB,Yes,Glass,149,7.9,Low
OPP-399,Oppo,Android 10,6.54,5300,6,256,48,35,Kirin,60,4G,No,Yes,Yes,1 Year,IPS,Lightning,Yes,Glass,125,8.8,Very High
VIV-711,Vivo,iOS 14,5.29,4400,4,64,88,15,MediaTek,120,5G,Yes,Yes,Yes,2 Years,OLED,Lightning,No,Plastic,128,6.9,Very High
OPP-398,Oppo,Android 10,6.3,5000,12,256,64,35,Snapdragon,90,5G,Yes,No,Yes,1 Year,LCD,Micro-USB,Yes,Plastic,192,7.9,High
REA-238,Realme,Android 12,6.07,3700,6,64,84,20,Exynos,120,4G,No,No,Yes,No Warranty,LCD,Type-C,Yes,Metal,125,9.4,Very High
TEC-355,Tecno,Android 12,5.99,3300,3,64,84,5,Apple Bionic,120,4G,Yes,No,Yes,No Warranty,OLED,Lightning,Yes,Glass,235,6.8,High
INF-327,Infinix,Android 12,5.99,4300,6,64,56,10,Exynos,60,5G,Yes,No,Yes,No Warranty,AMOLED,Type-C,No,Glass,124,8.0,Low
XIA-500,Xiaomi,Android 12,6.63,4000,6,128,104,10,Snapdragon,144,4G,No,No,No,No Warranty,LCD,Type-C,No,Metal,122,8.3,Medium
OPP-356,Oppo,Android 11,5.87,4900,12,128,52,15,Snapdragon,60,4G,Yes,Yes,Yes,No Warranty,IPS,Lightning,Yes,Metal,154,8.5,Medium
SAM-953,Samsung,Android 12,5.25,3900,4,256,84,25,Exynos,90,5G,No,Yes,No,1 Year,AMOLED,Type-C,Yes,Plastic,221,6.5,Medium
TEC-834,Tecno,Android 10,5.57,4800,4,64,76,30,Snapdragon,144,5G,No,No,No,2 Years,LCD,Type-C,Yes,Plastic,220,6.6,High
TEC-940,Tecno,iOS 14,6.49,5600,8,32,52,15,MediaTek,60,4G,Yes,No,Yes,2 Years,AMOLED,Lightning,Yes,Plastic,233,7.4,Medium
OPP-527,Oppo,iOS 15,5.63,4800,8,512,88,20,Snapdragon,120,5G,Yes,Yes,No,2 Years,LCD,Lightning,Yes,Metal,127,9.2,High
REA-540,Realme,Android 11,5.6,3700,8,32,96,5,Snapdragon,90,5G,No,Yes,Yes,No Warranty,OLED,Type-C,Yes,Glass,207,6.9,Low
VIV-972,Vivo,iOS 15,6.54,4100,4,64,104,15,Apple Bionic,144,4G,Yes,No,No,No Warranty,OLED,Lightning,No,Plastic,235,8.2,High
APP-814,Apple,iOS 14,5.35,5300,4,64,40,5,MediaTek,60,4G,Yes,Yes,Yes,No Warranty,LCD,Type-C,Yes,Metal,130,9.0,Very High
SAM-665,Samsung,iOS 14,6.58,5900,6,64,88,40,Apple Bionic,144,5G,No,No,No,No Warranty,OLED,Type-C,Yes,Glass,124,7.5,High
XIA-400,Xiaomi,Android 12,6.4,5500,3,32,84,20,MediaTek,60,5G,No,No,No,2 Years,AMOLED,Lightning,Yes,Metal,123,7.3,High
XIA-321,Xiaomi,iOS 14,5.19,3300,3,128,76,35,Exynos,60,5G,Yes,Yes,Yes,No Warranty,OLED,Type-C,No,Metal,158,6.8,Medium
REA-319,Realme,Android 11,6.13,4700,2,64,28,20,Snapdragon,60,4G,No,Yes,Yes,2 Years,IPS,Lightning,Yes,Metal,221,7.7,Low
